WarNum,WarName,V5Region,WarType,CcodeA,SideA,CcodeB,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TransFrom,Initiator,Outcome,TransTo,Deaths A,Deaths B,TotalBDeaths,SideAPeakTotForces,SideAPeak TheatForces,SideBPeakTotForces,SideBPeakTheatForces,Version,WarTypeC,V5RegionC,OutcomeC,WarTypeD,OutcomeD,TotalBDeathsU,Americas,Phase1_st,Phase2_st,Phase3_st,Phase4_st,Phase1_en,Phase2_en,Phase3_en,Phase4_en,InitiatorDeaths,RecipientDeaths,InitiatorForces,RecipientForces,AbsDiffDeaths,RelDiffDeaths,StartYR_Norm,InitiatorDeaths2,RecipientDeaths2,InitiatorDeathsImp,RecipientDeathsImp,AbsDiffDeathsImp,RelDiffDeathsImp,OutcomeE
500,First Caucasus War of 1818-1822,3,5,365,Russia,-8,Caucasus Rebels,0,6,10,1818,11,-9,1822,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1596,53.2,-8,Chechnya,1,-8,5000,6000,11000,1001000,70300,-8,46000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,11000,Not in Americas,1818-06-10,NA,NA,NA,1822-11-09,NA,NA,NA,6000,5000,-8,1001000,1000,0.0014245014245014246,0,6000,5000,6000,5000,1000,0.0014245014245014246,Other
502,First Two Sicilies War of 1820-1821,3,4,300,Austria,-8,-8,1,3,-9,1821,3,23,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,9,0.3,-8,-8,1,-8,-9,-8,-8,273000,60000,-8,-8,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,-8,Not in Americas,1821-03-09,NA,NA,NA,1821-03-23,NA,NA,NA,-8,-9,-8,273000,1,1.4245014245014244e-6,3,-8,NaN,-8,700,-708,0.0010085470085470086,Other
502,First Two Sicilies War of 1820-1821,3,4,300,Austria,-8,-8,1,3,-9,1821,3,23,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,9,0.3,-8,-8,1,-8,-9,-8,-8,273000,60000,-8,-8,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,-8,Not in Americas,1821-03-09,NA,NA,NA,1821-03-23,NA,NA,NA,-8,-9,-8,273000,1,1.4245014245014244e-6,3,-8,NaN,4000,1800,2200,0.0031339031339031338,Other
502,First Two Sicilies War of 1820-1821,3,4,329,Two Sicilies,-8,Liberals,1,7,2,1820,3,23,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,262,8.73,-8,Liberals,1,-8,-9,-9,2000,49000,10000,-8,50000,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,2000,Not in Americas,1820-07-02,NA,NA,NA,1821-03-23,NA,NA,NA,-9,-9,-8,49000,NaN,NaN,2,NaN,NaN,-8,700,-708,0.0010085470085470086,Other
502,First Two Sicilies War of 1820-1821,3,4,329,Two Sicilies,-8,Liberals,1,7,2,1820,3,23,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,262,8.73,-8,Liberals,1,-8,-9,-9,2000,49000,10000,-8,50000,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,2000,Not in Americas,1820-07-02,NA,NA,NA,1821-03-23,NA,NA,NA,-9,-9,-8,49000,NaN,NaN,2,NaN,NaN,4000,1800,2200,0.0031339031339031338,Other
502.1,Ali Pasha Rebellion of 1820-1822,3,5,640,Ottoman Empire,-8,Ali Pasha Loyalists,0,7,-9,1820,1,24,1822,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,550,18.33,-8,Ottoman Empire,1,-8,-9,-9,2000,200000,20000,-8,13500,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,2000,Not in Americas,1820-07-09,NA,NA,NA,1822-01-24,NA,NA,NA,-9,-9,200000,-8,NaN,NaN,2,NaN,NaN,2000,1000,1000,0.0014245014245014246,Initiator Won
503,Sardinian Revolt of 1821,3,4,300,Austria,-8,-8,1,4,7,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,32,1.07,-8,-8,1,-8,-9,-8,-8,273000,2000,-8,-8,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,-8,Not in Americas,1821-04-07,NA,NA,NA,1821-05-08,NA,NA,NA,-8,-9,-8,273000,1,1.4245014245014244e-6,3,-8,NaN,-8,50,-58,8.262108262108262e-5,Other
503,Sardinian Revolt of 1821,3,4,300,Austria,-8,-8,1,4,7,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,32,1.07,-8,-8,1,-8,-9,-8,-8,273000,2000,-8,-8,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,-8,Not in Americas,1821-04-07,NA,NA,NA,1821-05-08,NA,NA,NA,-8,-9,-8,273000,1,1.4245014245014244e-6,3,-8,NaN,6000,551,5449,0.007762108262108262,Other
503,Sardinian Revolt of 1821,3,4,325,Sardinia,-8,Piedmont Liberals,1,3,10,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,59,1.97,-8,Liberals,1,-8,-9,-9,1000,41000,7000,-8,15000,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,1000,Not in Americas,1821-03-10,NA,NA,NA,1821-05-08,NA,NA,NA,-9,-9,-8,41000,NaN,NaN,3,NaN,NaN,-8,50,-58,8.262108262108262e-5,Other
503,Sardinian Revolt of 1821,3,4,325,Sardinia,-8,Piedmont Liberals,1,3,10,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,59,1.97,-8,Liberals,1,-8,-9,-9,1000,41000,7000,-8,15000,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,1000,Not in Americas,1821-03-10,NA,NA,NA,1821-05-08,NA,NA,NA,-9,-9,-8,41000,NaN,NaN,3,NaN,NaN,6000,551,5449,0.007762108262108262,Other
