WarNum,WarName,V5RegionNum,WarType,CcodeA,SideA,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TotNatMonWar,TransFrom,Initiator,Outcome,TransTo,DeathsSideA,DeathsSideB,TotalBDeaths,Version,WarTypeC,V5RegionC,OutcomeC,WarTypeD,OutcomeD,TotalBDeathsU,Americas,Phase1_st,Phase2_st,Phase3_st,Phase4_st,Phase1_en,Phase2_en,Phase3_en,Phase4_en,InitiatorDeaths,RecipientDeaths,InitiatorDeaths2,RecipientDeaths2,AbsDiffDeaths,RelDiffDeaths,StartYR_Norm,InitiatorDeathsImp,RecipientDeathsImp,AbsDiffDeathsImp,RelDiffDeathsImp,OutcomeE,cluster
500,First Caucasus War of 1818-1822,3,5,365,Russia,Caucasus Rebels,0,6,10,1818,11,-9,1822,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1596,53.2,53.2,-8,Chechnya,1,-8,5000,6000,11000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,11000,Not in Americas,1818-06-10,NA,NA,NA,1822-11-09,NA,NA,NA,6000,5000,6000,5000,1000,0.0014245014245014246,0,6000,5000,1000,0.0014245014245014246,Other,4
502,First Two Sicilies War of 1820-1821,3,4,329,Two Sicilies,Liberals,1,7,2,1820,3,23,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,262,8.73,9.03,-8,Liberals,1,-8,-9,-9,2000,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,2000,Not in Americas,1820-07-02,NA,NA,NA,1821-03-23,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,2,3000,40,2960,0.004216524216524216,Other,2
502.1,Ali Pasha Rebellion of 1820-1822,3,5,640,Ottoman Empire,Ali Pasha Loyalists,0,7,-9,1820,1,24,1822,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,550,18.33,18.33,-8,Ottoman Empire,1,-8,-9,-9,2000,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,2000,Not in Americas,1820-07-09,NA,NA,NA,1822-01-24,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,2,2700,4000,-1300,0.001851851851851852,Initiator Won,4
503,Sardinian Revolt of 1821,3,4,325,Sardinia,Piedmont Liberals,1,3,10,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,59,1.97,3.03,-8,Liberals,1,-8,-9,-9,1000,5.1,Civil War: Central Control,Europe,Side A wins,Civil War: Central Control,Side A,1000,Not in Americas,1821-03-10,NA,NA,NA,1821-05-08,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,3,30000,62500,-32500,0.046296296296296294,Other,2
504,Greek Independence War of 1821-1828,3,5,640,Ottoman Empire,Greeks,1,3,25,1821,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2551,85.03,91.77,-8,Greeks,4,4,50000,15177,65177,5.1,Civil War: Local Issues,Europe,War transformed into another War,Civil War: Local Issues,Other,50000,Not in Americas,1821-03-25,NA,NA,NA,1828-04-25,NA,NA,NA,15177,50000,15177,50000,-34823,0.0496054131054131,3,15177,50000,-34823,0.0496054131054131,Other,2
504.3,Sidon-Damascus War of 1821-1822,5,6,-8,Damascus and Aleppo,Sidon,0,5,21,1821,7,30,1822,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,430,14.33,14.33,-8,Sidon,3,-8,1200,40,1240,5.1,Regional Internal,Middle East and North Africa,Compromise,Other,Other,1240,Not in Americas,1821-05-21,NA,NA,NA,1822-07-30,NA,NA,NA,40,1200,40,1200,-1160,0.0016524216524216523,3,40,1200,-1160,0.0016524216524216523,Other,4
505,Spanish Royalists War of 1821-1823,3,4,230,Spain,Royalists,0,12,4,1821,4,6,1823,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,483,16.1,16.1,-8,Royalists,4,1,-9,-9,1500,5.1,Civil War: Central Control,Europe,War transformed into another War,Civil War: Central Control,Other,1500,Not in Americas,1821-12-04,NA,NA,NA,1823-04-06,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,3,500,500,0,0,Other,1
507,Egypt-Mehdi War of 1824,5,6,-8,Egypt,Mehdi Army,0,3,23,1824,4,14,1824,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,22,0.73,0.73,-8,Mehdi army,1,-8,-9,-9,4000,5.1,Regional Internal,Middle East and North Africa,Side A wins,Other,Side A,4000,Not in Americas,1824-03-23,NA,NA,NA,1824-04-14,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,6,2000,1000,1000,0.0014245014245014246,Other,4
507.5,Greater Chechnya Revolt of 1825-1826,3,5,365,Russia,Chechnya,0,6,25,1825,7,7,1826,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,372,12.4,12.4,-8,Chechnya,1,-8,-9,-9,1100,5.1,Civil War: Local Issues,Europe,Side A wins,Civil War: Local Issues,Side A,1100,Not in Americas,1825-06-25,NA,NA,NA,1826-07-07,NA,NA,NA,-9,-9,NaN,NaN,NaN,NaN,7,3000,5900,-2900,0.004131054131054131,Other,4
508,Janissari Revolt of 1826,5,4,640,Ottoman Empire,Janissaries,0,6,14,1826,6,17,1826,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,0.13,0.13,-8,Janissaries,1,-8,40,6320,6360,5.1,Civil War: Central Control,Middle East and North Africa,Side A wins,Civil War: Central Control,Side A,6360,Not in Americas,1826-06-14,NA,NA,NA,1826-06-17,NA,NA,NA,6320,40,6320,40,6280,0.008945868945868947,8,6320,40,6280,0.008945868945868947,Other,1
