WarNum,deaths,WDuratDays,OutcomeD,Americas,WarTypeD,side,Init
500,5000,1596,Side A,Not in Americas,Civil War: Local Issues,A,0
502,-9,262,Side A,Not in Americas,Civil War: Central Control,A,0
502.1,-9,550,Side A,Not in Americas,Civil War: Local Issues,A,1
503,-9,59,Side A,Not in Americas,Civil War: Central Control,A,0
504,50000,2551,Other,Not in Americas,Civil War: Local Issues,A,0
504.3,1200,430,Other,Not in Americas,Other,A,0
505,-9,483,Other,Not in Americas,Civil War: Central Control,A,0
507,-9,22,Side A,Not in Americas,Other,A,0
507.5,-9,372,Side A,Not in Americas,Civil War: Local Issues,A,0
508,40,4,Side A,Not in Americas,Civil War: Central Control,A,0
511,3000,954,Side A,Not in Americas,Civil War: Local Issues,A,0
512,5000,741,Side A,Not in Americas,Civil War: Local Issues,A,0
513,200,3,Side B,Not in Americas,Civil War: Central Control,A,0
515,500,115,Side B,Not in Americas,Civil War: Local Issues,A,0
516,1500,91,Side B,Not in Americas,Other,A,1
517,15000,252,Side A,Not in Americas,Civil War: Local Issues,A,1
518,10000,447,Other,Not in Americas,Civil War: Local Issues,A,0
520,1400,352,Side B,Americas,Civil War: Central Control,A,0
520.3,-9,1125,Side A,Americas,Civil War: Central Control,A,0
520.5,12000,678,Side B,Not in Americas,Civil War: Central Control,A,0
521,2000,87,Side A,Not in Americas,Other,A,0
522,70550,2123,Side A,Not in Americas,Civil War: Central Control,A,0
523,-9,68,Other,Not in Americas,Civil War: Local Issues,A,0
525,5500,907,Side A,Americas,Civil War: Local Issues,A,0
525.5,-9,4,Side A,Americas,Civil War: Central Control,A,0
526,-9,3403,Side A,Americas,Civil War: Local Issues,A,0
527,1500,199,Side B,Americas,Civil War: Local Issues,A,0
528,-9,91,Side A,Not in Americas,Civil War: Local Issues,A,0
530,20000,5689,Other,Not in Americas,Civil War: Local Issues,A,1
531,600,130,Side A,Americas,Civil War: Local Issues,A,0
532,15000,326,Other,Not in Americas,Other,A,0
532.5,900,381,Side A,Americas,Civil War: Central Control,A,0
532.7,-9,757,Side A,Americas,Civil War: Local Issues,A,0
533,1500,19,Side B,Not in Americas,Civil War: Local Issues,A,1
535,-9,65,Side A,Not in Americas,Other,A,0
536,-9,661,Side A,Americas,Civil War: Central Control,A,0
537,-9,129,Side A,Not in Americas,Civil War: Local Issues,A,1
538,1800,696,Side A,Americas,Civil War: Central Control,A,0
539,-9,22,Side A,Not in Americas,Civil War: Local Issues,A,0
540,-9,91,Side A,Not in Americas,Civil War: Local Issues,A,0
541,700,37,Side B,Americas,Civil War: Central Control,A,0
541.2,390,37,Side B,Not in Americas,Other,A,0
542,400,25,Side A,Not in Americas,Civil War: Local Issues,A,1
543,700,31,Side B,Not in Americas,Other,A,1
544,-9,264,Side A,Not in Americas,Civil War: Central Control,A,0
545,2800,572,Other,Americas,Other,A,0
546,3000,704,Side A,Not in Americas,Civil War: Central Control,A,0
547,1500,289,Side A,Not in Americas,Civil War: Central Control,A,0
548,1500,552,Side A,Americas,Civil War: Central Control,A,0
549,1100,64,Side A,Not in Americas,Civil War: Central Control,A,0
550,241,29,Side A,Not in Americas,Civil War: Central Control,A,0
551,600,6,Other,Not in Americas,Civil War: Local Issues,A,0
553,-9,2358,Side A,Americas,Civil War: Local Issues,A,1
554,59600,331,Side A,Not in Americas,Civil War: Local Issues,A,0
554.3,-9,241,Side A,Not in Americas,Civil War: Local Issues,A,1
554.5,-9,24,Side A,Not in Americas,Civil War: Local Issues,A,0
555,1500,124,Side A,Americas,Civil War: Central Control,A,0
555.8,-9,48,Side B,Not in Americas,Civil War: Local Issues,A,1
556,4500,175,Other,Not in Americas,Civil War: Local Issues,A,0
557,-9,437,Side B,Americas,Civil War: Central Control,A,0
557.1,-9,93,Side A,Not in Americas,Civil War: Local Issues,A,0
557.2,-9,121,Side A,Not in Americas,Civil War: Local Issues,A,0
557.3,1400,226,Side B,Americas,Civil War: Central Control,A,0
557.8,100,34,Side A,Americas,Civil War: Central Control,A,0
557.9,1400,211,Side A,Not in Americas,Civil War: Local Issues,A,0
558,200,101,Side A,Americas,Civil War: Central Control,A,0
560,1000,488,Side A,Americas,Civil War: Central Control,A,0
561,-9,1038,Side B,Americas,Civil War: Central Control,A,0
562,3000,11,Side B,Not in Americas,Civil War: Local Issues,A,1
562.5,-9,128,Side A,Americas,Civil War: Central Control,A,0
563,30000,1534,Side B,Americas,Civil War: Central Control,A,0
565,-9,952,Side B,Americas,Civil War: Central Control,A,0
566,2000,47,Side B,Not in Americas,Other,A,1
567,-9,1905,Side A,Not in Americas,Civil War: Central Control,A,0
568,-9,2812,Side A,Not in Americas,Civil War: Local Issues,A,0
570,-9,4341,Side A,Not in Americas,Civil War: Local Issues,A,0
571,-9,4870,Side A,Not in Americas,Civil War: Local Issues,A,0
572,360000,1470,Side A,Americas,Civil War: Local Issues,A,0
573,-9,212,Side B,Americas,Civil War: Central Control,A,0
575,5000,346,Other,Not in Americas,Civil War: Local Issues,A,1
576,-9,4144,Side A,Not in Americas,Civil War: Local Issues,A,0
577,608,43,Side A,Americas,Other,A,0
578,-9,44,Side A,Americas,Civil War: Central Control,A,0
579,5000,448,Side A,Not in Americas,Civil War: Local Issues,A,0
580,-9,223,Side A,Americas,Civil War: Central Control,A,0
580.5,2413,227,Other,Not in Americas,Civil War: Local Issues,A,1
581,-9,331,Side A,Not in Americas,Civil War: Local Issues,A,0
582,-9,668,Side B,Not in Americas,Civil War: Local Issues,A,0
582.3,1000,194,Side A,Not in Americas,Civil War: Central Control,A,0
582.5,-9,361,Side A,Americas,Civil War: Central Control,A,0
583,-9,843,Side A,Not in Americas,Civil War: Local Issues,A,0
585,-9,15,Side A,Not in Americas,Civil War: Local Issues,A,0
586,-9,337,Side A,Americas,Civil War: Central Control,A,0
586.5,-9,31,Side A,Not in Americas,Other,A,1
587,1800,136,Side B,Americas,Civil War: Central Control,A,0
587.8,-9,231,Side B,Americas,Civil War: Central Control,A,0
588,3600,511,Side A,Not in Americas,Civil War: Central Control,A,1
591,800,12,Side B,Not in Americas,Civil War: Central Control,A,0
592,-9,391,Side B,Americas,Civil War: Central Control,A,0
592.5,-9,983,Side B,Americas,Civil War: Central Control,A,0
592.7,-9,301,Side A,Not in Americas,Other,A,0
593,200,294,Side A,Americas,Civil War: Local Issues,A,1
595,-9,77,Side B,Americas,Civil War: Central Control,A,0
596,879,72,Side A,Not in Americas,Civil War: Central Control,A,0
596.7,-9,241,Side A,Not in Americas,Other,A,0
597,7000,1388,Side A,Not in Americas,Civil War: Central Control,A,0
597.5,500,233,Side A,Americas,Civil War: Local Issues,A,1
598,-9,175,Side A,Not in Americas,Civil War: Local Issues,A,1
600,-9,74,Side A,Americas,Civil War: Central Control,A,0
601,10000,360,Other,Not in Americas,Civil War: Local Issues,A,0
602,1900,309,Side B,Americas,Civil War: Central Control,A,0
603,-9,618,Side A,Not in Americas,Civil War: Local Issues,A,1
605,2430,265,Side A,Americas,Civil War: Central Control,A,0
606,-9,109,Side B,Americas,Civil War: Central Control,A,0
607,6399,236,Side A,Not in Americas,Civil War: Central Control,A,1
608,200,213,Side A,Americas,Civil War: Local Issues,A,1
609,-9,41,Side B,Americas,Civil War: Central Control,A,0
610,550,11,Side A,Americas,Civil War: Local Issues,A,0
610.5,3500,393,Other,Not in Americas,Civil War: Local Issues,A,0
611,2400,282,Side A,Americas,Civil War: Central Control,A,0
612,330,333,Side A,Americas,Civil War: Central Control,A,0
613,200,70,Side A,Americas,Civil War: Local Issues,A,0
616,-9,811,Side A,Not in Americas,Civil War: Local Issues,A,0
616.5,-9,4,Side A,Americas,Civil War: Central Control,A,0
617,-9,233,Side B,Americas,Civil War: Central Control,A,0
618,500,36,Side A,Not in Americas,Civil War: Central Control,A,0
619,-9,206,Side B,Americas,Civil War: Central Control,A,0
620,-9,570,Side A,Americas,Civil War: Central Control,A,0
621,-9,221,Side A,Americas,Civil War: Central Control,A,0
623,500,78,Other,Not in Americas,Civil War: Local Issues,A,0
625,-9,146,Side B,Americas,Civil War: Central Control,A,0
626,-9,47,Side A,Americas,Civil War: Central Control,A,0
627,-9,221,Side B,Americas,Civil War: Central Control,A,0
628,-9,374,Side A,Not in Americas,Civil War: Local Issues,A,0
630,6000,272,Side A,Not in Americas,Civil War: Local Issues,A,1
630.2,4500,99,Other,Not in Americas,Civil War: Local Issues,A,1
631,-9,335,Other,Not in Americas,Civil War: Local Issues,A,0
631.5,-9,88,Side A,Americas,Civil War: Central Control,A,0
632,5000,365,Side A,Americas,Civil War: Local Issues,A,1
632.3,-9,118,Side A,Americas,Civil War: Central Control,A,0
632.6,6000,421,Other,Not in Americas,Civil War: Local Issues,A,0
633,1200,141,Side B,Americas,Civil War: Central Control,A,0
635,80,178,Side A,Americas,Civil War: Local Issues,A,0
636,47000,1115,Side A,Americas,Civil War: Central Control,A,0
637,2000,560,Side A,Americas,Civil War: Local Issues,A,1
638,-9,573,Side A,Americas,Civil War: Central Control,A,0
639,30000,1472,Other,Not in Americas,Civil War: Local Issues,A,0
640,4500,395,Side A,Not in Americas,Civil War: Local Issues,A,0
641,900,250,Side A,Americas,Civil War: Central Control,A,0
641.5,1900,140,Other,Not in Americas,Civil War: Local Issues,A,1
643,2300,340,Side A,Not in Americas,Civil War: Central Control,A,1
645,-9,45,Side A,Not in Americas,Civil War: Central Control,A,0
646,600,366,Side B,Not in Americas,Civil War: Central Control,A,0
647,-9,385,Side B,Not in Americas,Civil War: Central Control,A,1
647.5,7000,702,Other,Not in Americas,Civil War: Local Issues,A,1
648,-9,34,Side A,Not in Americas,Civil War: Central Control,A,0
649,-9,311,Side B,Americas,Civil War: Central Control,A,0
650,5000,932,Other,Not in Americas,Civil War: Local Issues,A,0
650.8,100,58,Side A,Not in Americas,Civil War: Local Issues,A,1
652,90000,1240,Side B,Americas,Civil War: Central Control,A,0
656,3000,206,Side B,Americas,Civil War: Central Control,A,0
657,4000,68,Other,Not in Americas,Civil War: Central Control,A,0
657.3,-9,12,Side A,Americas,Civil War: Central Control,A,0
658,50,59,Side A,Americas,Civil War: Local Issues,A,0
665,-9,50,Side A,Not in Americas,Civil War: Local Issues,A,1
667,-9,1071,Side A,Americas,Civil War: Central Control,A,0
672,-9,143,Side A,Not in Americas,Civil War: Local Issues,A,0
672.5,1000,481,Side A,Americas,Civil War: Local Issues,A,1
673,90015,2066,Side A,Americas,Civil War: Central Control,A,0
674,2000,171,Side B,Not in Americas,Civil War: Central Control,A,0
675,150,234,Side A,Not in Americas,Civil War: Local Issues,A,0
675.5,10000,321,Side A,Not in Americas,Civil War: Central Control,A,0
676,-9,105,Side A,Not in Americas,Other,A,1
676.5,-9,452,Other,Not in Americas,Civil War: Local Issues,A,1
677,702000,1062,Side A,Not in Americas,Civil War: Central Control,A,0
